scan_date,point_card_id,store_id,employee_id,shoe_sold,shoe_exist_in_db,shoes_marked_sold_rwa,insole_sold,shoe_functional,size_recommendation,safesize_code,scanner_id,created_at
2025-09-07,9613021497943,10243,3201663,,,,,1,1,2500039762699,SC7-1127,
2025-09-06,9613021277989,10327,3228108,,,,,1,1,2500064178120,SC7-A10,
2025-09-01,9613020662823,10179,2081212,,,,,1,1,2500057473089,SC7-D95,
2025-09-01,9613015891986,10259,3224395,,,,,,,2500041272728,SC7-934,
2025-09-01,9613015891986,10259,3224395,,,,,,,2500000316289,SC7-934,
2025-09-07,9613013805619,10510,3220991,,,,,,,2500080973730,SC7-E99,
2025-09-05,8820016416679,20312,1800712,,,,,,,2500021035909,SC7-F96,
2025-09-02,8820012546844,20247,1800739,,,,,,,2500059222623,SC7-J51,
2025-09-05,8820009561713,20194,0381187,,,,,1,,2500078231248,SC7-E29,
2025-09-01,8820009561713,20194,0381187,,,,,1,,2500078231248,SC7-E29,
2025-09-05,8800999019142,10180,2180013,,,,,,,2500038977582,SC7-E34,
2025-09-05,8800999019142,10180,2180013,,,,,,,2500038977582,SC7-E34,
2025-09-07,8800979942705,10410,3227793,,,,,,,2500042942712,SC7-J08,
2025-09-07,8800979871784,10349,3002670,,,,,1,,2500047048327,SC7-A13,
2025-09-07,8800979361384,10405,3227504,,,,,,,2500034927291,SC7-A22,
2025-09-05,8800978653374,10413,3203829,,,,,1,1,2500083432128,SC7-768,
2025-09-07,8800977999756,10404,3223374,,,,,,,2500000526770,SC7-982,
2025-09-07,8800977765498,10413,3222194,,,,,,,2500053771615,SC7-I86,
2025-09-07,8800976681058,10277,3208272,,,,,1,,2500050215761,SC7-A17,
2025-09-07,8800976681058,10277,3208272,,,,,1,,2500050215761,SC7-A17,
2025-09-01,8800976453983,10520,2331030,,,,,,,2500052840916,SC7-A62,
2025-09-06,8800975889295,10196,3225155,,,,,,,2500000727276,SC7-1198,
2025-09-06,8800975123948,10230,2913586,,,,,,,2500024110313,SC7-960,
2025-09-06,8800975123948,10230,2913586,,,,,,,2500024110313,SC7-960,
2025-09-06,8800975111334,10327,3228108,,,,,1,1,2500002763548,SC7-A10,
2025-09-07,8800974588410,20164,1800622,,,,,1,,2500015647880,SC7-J24,
2025-09-02,8800973884742,10507,3211820,,,,,,,2500018453303,SC7-A38,
2025-09-05,8800973884742,10507,3211820,,,,,,,2500018453303,SC7-1135,
2025-09-06,8800973884742,10507,3211820,,,,,,,2500018453303,SC7-1135,
2025-09-07,8800973569045,10510,3228172,,,,,,,2500078878153,SC7-F00,
2025-09-07,8800973569045,10510,3228172,,,,,,,2500026157163,SC7-F00,
2025-09-07,8800973193677,20213,2090508,,,,,,,2500037812594,SC7-881,
2025-09-07,8800973193677,20213,2090508,,,,,,,2500027600118,SC7-881,
2025-09-05,8800972222811,10344,2914149,,,,,1,1,2500021817956,SC7-880,
2025-09-07,8800971965399,10505,1800641,,,,,1,1,2500026968066,SC7-1132,
2025-09-05,8800968812330,10405,3224981,,,,,1,,2500031296420,SC7-A22,
2025-09-07,8800968489150,10309,5555555,,,,,,,2500059330229,SC7-1244,
2025-09-07,8800968489150,10309,5555555,,,,,1,1,2500059330229,SC7-1244,
2025-09-07,8800968158643,10405,3227504,,,,,1,1,2500028613445,SC7-I92,
2025-09-04,8800967951627,10405,2252056,,,,,,,2500059535839,SC7-I92,
2025-09-04,8800967951627,10405,2252056,,,,,,,2500002228627,SC7-I92,
2025-09-02,8800965173793,10440,3222251,,,,,,,2500078899165,SC7-1115,
2025-09-02,8800965173793,10440,3222251,,,,,,,2500078899165,SC7-1115,
2025-09-07,8800961569170,10353,3223445,,,,,,,2500052207801,SC7-A58,
2025-09-06,8800960422223,10495,3002755,,,,,1,,2500046640348,SC7-946,
2025-09-07,8800960012325,10324,2111162,,,,,,,2500004893526,SC7-A82,
2025-09-07,8800953332959,10518,3229242,,,,,1,,2500000407550,SC7-J60,
2025-09-03,8800951182662,10444,3211288,,,,,,,2500066542004,SC7-936,
2025-09-03,8800951182662,10444,3211288,,,,,1,,2500066542004,SC7-936,
2025-09-07,8800800564991,20213,1006176,,,,,,,2500039071470,SC7-881,
2025-09-04,8800087625798,10389,3201509,,,,,1,1,2500003629010,SC7-986,
2025-09-06,8800087115596,10312,2312015,,,,,,,2500063839688,SC7-A19,
2025-09-05,8800054647372,10368,3207098,,,,,,,2500022951116,SC7-876,
2025-09-07,8800005464973,10389,3201509,,,,,,,2500055794568,SC7-986,
2025-09-07,8800005464973,10389,3201509,,,,,,,2500055794568,SC7-986,
2025-09-07,6080041808623,10522,5555555,,,,,1,,2500016889821,SC7-K04,
2025-09-07,6080041806292,10341,2096766,,,,,1,,2500016018313,SC7-A45,
2025-09-07,6080041805806,20317,1005557,,,,,,,2500045583097,SC7-J25,
2025-09-07,6080041805332,10248,3212337,,,,,,,2500053914920,SC7-1131,
2025-09-07,6080041805332,10248,3212337,,,,,,,2500028370287,SC7-1131,
2025-09-07,6080041804649,10314,3229150,,,,,1,1,2500036598581,SC7-A01,
2025-09-07,6080041804649,10314,3229150,,,,,1,1,2500036598581,SC7-1184,
2025-09-07,6080041804557,10314,3229150,,,,,1,1,2500003782913,SC7-A01,
2025-09-07,6080041804519,10243,3228527,,,,,1,1,2500041609999,SC7-A41,
